spkid,H,diameter,e,a,q,i,ad,albedo,spec_B,main_class
20000751,8.95,113.699,0.1511,2.551,2.165,15.6,2.94,0.027,Ch,C-type
20000753,10.35,20.922,0.2207,2.329,1.815,10.09,2.84,0.333,L,S-type
20000754,9.31,94.522,0.0514,2.987,2.834,24.54,3.14,0.042,Ch,C-type
20000782,11.36,14.158,0.0393,2.18,2.094,5.26,2.27,0.224,Sl,S-type
20000793,10.24,26.636,0.1233,2.797,2.452,15.78,3.14,0.196,S,S-type
20000797,10.46,21.197,0.0603,2.535,2.382,4.52,2.69,0.287,S,S-type
20000808,10.01,30.923,0.1301,2.744,2.387,4.72,3.1,0.213,Sq,S-type
20000819,11.98,8.917,0.1421,2.198,1.885,4.89,2.51,0.277,S,S-type
20000821,11.89,28.856,0.2108,2.773,2.189,5.4,3.36,0.025,Ch,C-type
20000824,10.24,32.457,0.1365,2.794,2.412,8.13,3.18,0.087,L,S-type
20000825,11.66,13.423,0.0742,2.227,2.062,3.4,2.39,0.275,S,S-type
20000847,10.12,24.931,0.0946,2.782,2.519,2.48,3.05,0.152,S,S-type
20000853,11.65,27.593,0.1063,2.312,2.066,9.21,2.56,0.051,Ch,C-type
20000862,9.96,27.033,0.0833,2.804,2.57,13.89,3.04,0.291,S,S-type
20000868,10.46,50.692,0.1462,2.705,2.309,5.84,3.1,0.056,Ch,C-type
20000870,11.81,13.683,0.2645,2.323,1.709,6.19,2.94,0.216,S,S-type
20000897,10.53,24.337,0.0934,2.542,2.304,14.33,2.78,0.214,Sl,S-type
20000898,11.69,11.693,0.3729,2.726,1.709,10.1,3.74,0.205,Sl,S-type
20000905,11.72,12.07,0.1535,2.216,1.876,5.32,2.56,0.28,S,S-type
20000908,10.75,30.749,0.1465,2.473,2.111,13.42,2.84,0.087,L,S-type
20000910,10.5,48.59,0.1563,2.923,2.466,9.22,3.38,0.057,Ch,C-type
20000913,12.07,11.636,0.1701,2.198,1.824,5.8,2.57,0.282,Sa,S-type
20000925,8.53,57.505,0.0814,2.699,2.479,21.1,2.92,0.248,S,S-type
20000929,11.68,11.443,0.1143,2.239,1.983,3.92,2.49,0.272,S,S-type
20000930,11.36,34.922,0.1428,2.432,2.085,15.33,2.78,0.032,Ch,C-type
20000934,10.21,53.714,0.2158,2.75,2.156,14.08,3.34,0.047,Ch,C-type
20000945,9.96,25.618,0.1607,2.638,2.214,32.84,3.06,0.239,Sq,S-type
20000950,11.35,13.704,0.1596,2.371,1.992,23.5,2.75,0.231,Sa,S-type
20000951,11.47,12.2,0.1732,2.21,1.827,4.11,2.59,0.246,S,S-type
20000970,12.3,9.204,0.2728,2.559,1.861,5.03,3.26,0.229,S,S-type
20000980,7.9,74.679,0.2018,2.742,2.188,15.9,3.29,0.229,L,S-type
20000984,9.59,32.449,0.1951,2.806,2.258,9.09,3.35,0.421,Sr,S-type
20000994,10.22,20.786,0.1154,2.53,2.238,15.41,2.82,0.31,S,S-type
20000997,12.52,20.391,0.1818,2.67,2.184,10.51,3.15,0.057,Ch,C-type
20001007,11.43,18.264,0.109,2.709,2.413,2.54,3.0,0.145,K,S-type
20001016,11.89,9.539,0.1274,2.22,1.937,6.04,2.5,0.308,S,S-type
20001020,12.26,10.067,0.0425,2.789,2.671,4.06,2.91,0.15,S,S-type
20001024,10.92,43.274,0.2213,2.87,2.235,16.07,3.5,0.045,Ch,C-type
20001034,12.12,7.919,0.263,2.293,1.69,3.97,2.9,0.25,S,S-type
20001036,9.2,37.675,0.5328,2.665,1.245,26.69,4.09,0.238,S,S-type
20001045,13.05,6.104,0.1583,2.359,1.986,0.26,2.73,0.328,S,S-type
20001048,9.73,62.218,0.1827,2.731,2.232,15.83,3.23,0.057,Ch,C-type
20001052,11.89,9.785,0.1432,2.236,1.916,4.7,2.56,0.301,S,S-type
20001055,11.99,13.479,0.2086,2.198,1.739,5.28,2.66,0.169,S,S-type
20001056,11.69,11.869,0.1782,2.23,1.833,5.43,2.63,0.292,S,S-type
20001058,11.9,10.92,0.1881,2.196,1.783,3.69,2.61,0.201,S,S-type
20001069,9.61,35.657,0.1096,3.126,2.783,13.56,3.47,0.219,S,S-type
20001086,9.71,66.27,0.0518,3.169,3.005,8.35,3.33,0.0767,Ch,C-type
20001088,11.34,15.137,0.1955,2.202,1.772,7.65,2.63,0.173,S,S-type
20001102,9.37,36.632,0.1105,3.068,2.729,15.83,3.41,0.229,S,S-type
20001106,11.8,12.14,0.1239,2.598,2.276,13.04,2.92,0.241,S,S-type
20001110,11.64,12.306,0.2408,2.219,1.684,5.86,2.75,0.237,S,S-type
20001140,9.99,29.179,0.11,2.773,2.468,14.12,3.08,0.16,S,S-type
20001147,11.64,13.43,0.2325,2.27,1.743,3.88,2.8,0.155,S,S-type
20001148,10.27,27.512,0.1081,3.016,2.69,10.83,3.34,0.064,K,S-type
20001152,11.2,17.13,0.0403,2.427,2.329,5.07,2.52,0.203,Sl,S-type
20001185,12.19,8.347,0.1056,2.237,2.001,5.7,2.47,0.37,S,S-type
20001186,9.98,34.29,0.1009,3.021,2.716,10.75,3.33,0.24,Sq,S-type
20001188,11.71,12.67,0.1803,2.19,1.796,4.82,2.59,0.273,S,S-type
20001189,10.01,59.246,0.1114,2.933,2.607,9.86,3.26,0.042,Ch,C-type
20001198,14.41,35.4466,0.3353,2.251,1.496,2.73,3.01,0.1781685714285714,L,S-type
20001228,11.53,14.685,0.0395,2.772,2.662,3.28,2.88,0.249,S,S-type
20001234,10.98,22.876,0.0871,3.014,2.751,8.53,3.28,0.162,K,S-type
20001248,9.92,28.468,0.0139,2.721,2.683,9.14,2.76,0.282,S,S-type
20001252,10.77,19.037,0.2057,2.697,2.142,33.82,3.25,0.215,S,S-type
20001272,12.95,6.965,0.1502,2.784,2.366,8.41,3.2,0.252,Sl,S-type
20001278,10.99,19.361,0.2637,2.404,1.77,10.86,3.04,0.195,S,S-type
20001284,10.23,41.128,0.1729,2.645,2.188,10.89,3.1,0.069,L,S-type
20001293,13.71,7.8,0.2755,2.227,1.613,5.37,2.84,0.4598,Sq,S-type
20001324,13.23,6.456,0.1641,2.185,1.826,4.52,2.54,0.321,Sq,S-type
20001329,11.06,19.467,0.1728,2.62,2.167,14.47,3.07,0.149,S,S-type
20001336,10.67,21.441,0.0634,2.851,2.67,3.2,3.03,0.232,S,S-type
20001348,11.16,16.29,0.1385,2.791,2.404,6.59,3.18,0.265,Sl,S-type
20001350,10.73,20.822,0.086,2.859,2.613,2.94,3.11,0.199,Sa,S-type
20001360,11.49,33.316,0.2146,2.634,2.069,22.83,3.2,0.03,Ch,C-type
